gene,score,logfoldchange,pval,pval_adj,subtype
KCNT2,15.805034,,2.872360695416805e-56,3.180469252678514e-53,CR
CNTNAP4,15.789899,,3.651663200945593e-56,3.790654631531585e-53,CR
GALNTL6,15.334516,,4.496126176228577e-53,4.3927152741753195e-50,CR
ALCAM,15.215719,,2.7814406041402446e-52,2.566497055231407e-49,CR
DLX6-AS1,14.659313,,1.1745551177386095e-48,1.0267466289747666e-45,CR
SEZ6L,14.643055,,1.4921043317377486e-48,1.2391180422916134e-45,CR
PCSK2,14.5016,,1.1835871030653486e-47,9.361046759434465e-45,CR
ARPP21,14.264135,,3.661015661985258e-46,2.763900414996052e-43,CR
NR2F2,13.996848,,1.6293889467304608e-44,1.1766313485324445e-41,CR
NCAM1,13.531033,,1.0257260067241555e-41,7.09845135236729e-39,CR
PROX1,13.461986,,2.6178693403189593e-41,1.739207674934304e-38,CR
PCDH10,13.016072,,9.914124016561252e-39,6.098655029298734e-36,CR
OLFM1,12.745213,,3.314867256800939e-37,1.898504492007131e-34,CR
CHRM3,12.654665,,1.0542448929959468e-36,5.836651142589894e-34,CR
